name,tag,type,attributes,value,action,proVersion,osVersion
_paperRipple,PAPER-RIPPLE,null,"aria-label,sahiText,id,className,index",sahiText,null,6.1.0,NA
_paperShadow,PAPER-SHADOW,null,"aria-label,sahiText,id,className,index,z",sahiText,_click,6.1.0,NA
_paperSlider,PAPER-SLIDER,null,"aria-label,sahiText,id,className,index",sahiText,_click,6.1.0,NA
_paperSpinner,PAPER-SPINNER,null,"aria-label,sahiText,id,className,index",sahiText,_click,6.1.0,NA
_paperTabs,PAPER-TABS,null,"aria-label,sahiText,id,className,index",sahiText,_click,6.1.0,NA
_paperTab,PAPER-TAB,null,"aria-label,sahiText,id,className,index",sahiText,_click,6.1.0,NA
_paperToast,PAPER-TOAST,null,"aria-label,sahiText,id,className,index",sahiText,_click,6.1.0,NA
_paperToggleButton,PAPER-TOGGLE-BUTTON,null,"aria-label,sahiText,id,className,index",value,_click,6.1.0,NA
_paperFab,PAPER-FAB,null,"aria-label,sahiText,id,className,index,icon",value,_click,6.1.0,NA
_selectInput,SELECT-INPUT,null,"aria-label,sahiText,id,className,index,icon",value,_click,6.1.0,NA
_selectInputItem,SELECT-INPUT-ITEM,null,"aria-label,sahiText,id,className,index,icon",value,_click,6.1.0,NA
